질병코드,버전,영문명,한글명
A08,7,Viral and other specified intestinal infections,바이러스성 및 기타 명시된 장감염
A08.0,7,Rotaviral enteritis,로타바이러스장염
A08.1,7,Acute gastroenteropathy due to Norwalk agent,노워크병원체에 의한 급성 위장병증
A08.2,7,Adenoviral enteritis,아데노바이러스장염
A08.3,7,Other viral enteritis,기타 바이러스장염
A08.4,7,"Viral intestinal infection, unspecified",상세불명의 바이러스성 장감염
A08.5,7,Other specified intestinal infections,기타 명시된 장감염
A09,7,Other gastroenteritis and colitis of infectious and unspecified origin,감염성 및 상세불명 기원의 기타 위장염 및 결장염
A09.0,7,Other and unspecified gastroenteritis and colitis of infectious origin,감염성 기원의 기타 및 상세불명의 위장염 및 결장염
A09.9,7,Gastroenteritis and colitis of unspecified origin,상세불명 기원의 위장염 및 결장염
A15,7,"Respiratory tuberculosis, bacteriologically and histologically confirmed",세균학적 및 조직학적으로 확인된 호흡기결핵
A15.0,7,"Tuberculous of lung, confirmed by sputum microscopy with or without culture",배양 유무에 관계없이 가래 현미경 검사로 확인된 폐결핵
A15.1,7,"Tuberculosis of lung, confirmed by culture only",배양만으로 확인된 폐결핵
A15.2,7,"Tuberculosis of lung, confirmed histologically",조직학적으로 확인된 폐결핵
A15.3,7,"Tuberculosis of lung, confirmed by unspecified means",상세불명의 수단으로 확인된 폐결핵
A15.4,7,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",세균학적 및 조직학적으로 확인된 흉곽내림프절의 결핵
A15.5,7,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically","세균학적 및 조직학적으로 확인된 후두, 기관 및 기관지의 결핵"
A15.6,7,"Tuberculous pleurisy, confirmed bacteriologically and histologically",세균학적 및 조직학적으로 확인된 결핵성 흉막염
A15.7,7,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically",세균학적 및 조직학적으로 확인된 일차호흡기결핵
A15.8,7,"Other respiratory tuberculosis, confirmed bacteriologically and histologically",세균학적 및 조직학적으로 확인된 기타 호흡기결핵
A15.9,7,"Respiratory tuberculosis unspecified, confirmed Confirmed bacteriologically and histologically",세균학적 및 조직학적으로 확인된 상세불명의 호흡기결핵
A16,7,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",세균학적으로나 조직학적으로 확인되지 않은 호흡기결핵
A16.0,7,"Tuberculosis of lung, bacteriologically and histologically negative",세균학적 및 조직학적으로 음성인 폐결핵
A16.1,7,"Tuberculosis of lung, bacteriological and histological examination not done",세균학적 및 조직학적 검사를 하지 않은 폐결핵
A16.2,7,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",세균학적 또는 조직학적 확인에 대한 언급이 없는 폐결핵
A16.3,7,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",세균학적 또는 조직학적 확인에 대한 언급이 없는 흉곽내림프절의 결핵
A16.4,7,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histologicalconfirmation","세균학적 또는 조직학적 확인에 대한 언급이 없는 후두, 기관 및 기관지 결핵"
A16.5,7,"Tuberculous pleurisy, without mention of bacteriological or histologicalconfirmation",세균학적 또는 조직학적 확인에 대한 언급이 없는 결핵성 흉막염
A16.7,7,"Primary respiratory tuberculosis , without mention of bacteriological or histologicalconfirmation",세균학적 또는 조직학적 확인에 대한 언급이 없는 일차호흡기결핵
A16.8,7,"Other respiratory tuberculosis, without mention of bacteriological or histologicalconfirmation",세균학적 또는 조직학적 확인에 대한 언급이 없는 기타 호흡기결핵
A16.9,7,"Respiratory tuberculosis unspecified, without mention of bacteriological or histologicalconfirmation",세균학적 또는 조직학적 확인에 대한 언급이 없는 상세불명의 호흡기결핵
A17,7,Tuberculosis of nervous system,신경계통의 결핵
A17.0,7,Tuberculous meningitis(G01*),결핵성 수막염(G01*)
A17.1,7,Meningeal tuberculoma(G07*),수막결핵종(G07*)
A17.8,7,Other tuberculosis of nervous system,기타 신경계통의 결핵
A17.9,7,"Tuberculosis of nervous system, unspecified(G99.8*)",신경계통의 상세불명 결핵(G99.8*)
A18,7,Tuberculosis of other organs,기타 기관의 결핵
A18.0,7,Tuberculosis of bones and joints,골 및 관절의 결핵
A18.1,7,Tuberculosis of genitourinary system,비뇨생식계통의 결핵
A18.2,7,Tuberculous peripheral lymphadenopathy,결핵성 말초림프절병증
A18.3,7,"Tuberculosis of intestines, peritoneum and mesenteric glands","장, 복막 및 장간막 림프절의 결핵"
A18.4,7,Tuberculosis of skin and subcutaneous tissue,피부 및 피하조직의 결핵
A18.5,7,Tuberculosis of eye,눈의 결핵
A18.6,7,Tuberculosis of ear,귀의 결핵
A18.7,7,Tuberculosis of adrenal glands(E35.1*),부신의 결핵(E35.1*)
A18.8,7,Tuberculosis of other specified organs,기타 명시된 기관의 결핵
A19,7,Miliary tuberculosis,좁쌀결핵
A19.0,7,Acute miliary tuberculosis of a single specified site,하나로 명시된 부위의 급성 좁쌀결핵
A19.1,7,Acute miliary tuberculosis of multiple sites,여러 부위의 급성 좁쌀결핵
A19.2,7,"Acute miliary tuberculosis, unspecified",상세불명의 급성 좁쌀결핵
A19.8,7,Other miliary tuberculosis,기타 좁쌀결핵
A19.9,7,"Miliary tuberculosis, unspecifie",상세불명의 좁쌀결핵
A20,7,Plague,페스트
A20.0,7,Bubonic plague,림프절형페스트
A20.1,7,Cellulocutaneous plague,연조직피부형페스트
A20.2,7,Pneumonic plague,폐렴형페스트
A20.3,7,Plague meningitis,페스트수막염
A20.7,7,Septicaemic plague,패혈증형페스트
A20.8,7,Other forms of plague,기타 형태의 페스트
A20.9,7,"Plague, unspecified",상세불명의 페스트
A21,7,Tularaemia,야생토끼병
A21.0,7,Ulceroglandular tularaemia,궤양림프절야생토끼병
A21.1,7,Oculoglandular tularaemia,눈림프절야생토끼병
A21.2,7,Pulmonary tularaemia,폐야생토끼병
A21.3,7,Gastrointestinal tularaemia,위장야생토끼병
A21.7,7,Generalized tularaemia,전신야생토끼병
A21.8,7,Other forms of tularaemia,기타 형태의 야생토끼병
A21.9,7,"Tularaemia, unspecified",상세불명의 야생토끼병
A22,7,Anthrax,탄저병
A22.0,7,Cutaneous anthrax,피부탄저병
A22.1,7,Pulmonary anthrax,폐탄저병
A22.2,7,Gastrointestinal anthrax,위장탄저병
A22.7,7,Anthrax sepsis,탄저병패혈증
A22.8,7,Other forms of anthrax,기타 형태의 탄저병
A22.9,7,"Anthrax, unspecified",상세불명의 탄저병
A23,7,Brucellosis,브루셀라병
A23.0,7,Brucellosis due to Brucella melitensis,브루셀라 멜리텐시스에 의한 브루셀라병
A23.1,7,Brucellosis due to Brucella abortus,브루셀라 아보르투스에 의한 브루셀라병
A23.2,7,Brucellosis due to Brucella suis,브루셀라 수이스에 의한 브루셀라병
A23.3,7,Brucellosis due to Brucella canis,브루셀라 카니스에 의한 브루셀라병
A23.8,7,Other brucellosis,기타 브루셀라병
A23.9,7,"Brucellosis, unspecified",상세불명의 브루셀라병
A24,7,Glanders and Melioidosis,마비저 및 유사비저
A24.0,7,Glanders,마비저
A24.1,7,Acute and fulminating melioidosis,급성 및 전격성 유사비저
A24.2,7,Subacute and chronic melioidosis,아급성 및 만성 유사비저
A24.3,7,Other melioidosis,기타 유사비저
A24.4,7,"Melioidosis, unspecified",상세불명의 유사비저
A25,7,Rat-bite fevers,쥐물음열
A25.0,7,Spirillosis,스피릴룸증
A25.1,7,Streptobacillosis,연쇄간균증
A25.9,7,"Rat-bite fever, unspecified",상세불명의 쥐물음열
A26,7,Erysipeloid,유사단독
A26.0,7,Cutaneous erysipeloid,피부유사단독
A26.7,7,Erysipelothrix sepsis,에리시펠로트릭스 패혈증
A26.8,7,Other forms of erysipeloid,기타 형태의 유사단독
A26.9,7,"Erysipeloid, unspecified",상세불명의 유사단독
A27,7,Leptospirosis,렙토스피라병
A27.0,7,Leptospirosis icterohaemorrhagica,황달출혈성 렙토스피라병
A27.8,7,Other forms of leptospirosis,기타 형태의 렙토스피라병
A27.9,7,"Leptospirosis, unspecified",상세불명의 렙토스피라병
A28,7,"Other zoonotic bacterial diseases, NEC",달리 분류되지 않은 기타 동물매개의 세균성 질환
A28.0,7,Pasteurellosis,파스퇴렐라증
A28.1,7,Cat-scratch disease,고양이할큄병
A28.2,7,Extraintestinal yersiniosis,장외예르시니아증
A28.8,7,"Other specified zoonotic bacterial diseases, NEC",달리 분류되지 않은 기타 명시된 동물매개의 세균성 질환
A28.9,7,"Zoonotic bacterial disease, unspecified",상세불명의 동물매개의 세균성 질환
A30,7,Leprosy[Hansen’s disease],나병[한센병]
A30.0,7,Indeterminate leprosy,부정나병
A30.1,7,Tuberculoid leprosy,결핵모양나병
A30.2,7,Borderline tuberculoid leprosy,경계결핵모양나병
A30.3,7,Borderline leprosy,경계나병
A30.4,7,Borderline lepromatous leprosy,경계나병종나병
A30.5,7,Lepromatous leprosy,나병종나병
A30.8,7,Other forms of leprosy,기타 형태의 나병
A30.9,7,"Leprosy, unspecified",상세불명의 나병
A31,7,Infection due to other mycobacteria,기타 형태의 마이코박테리아에 의한 감염
A31.0,7,Pulmonary mycobacterial infection,폐마이코박테리아감염
A31.1,7,Cutaneous mycobacterial infection,피부마이코박테리아감염
A31.8,7,Other mycobacterial infections,기타 마이코박테리아감염
A31.9,7,"Mycobacterial infection, unspecified",상세불명의 마이코박테리아감염
A32,7,Listeriosis,리스테리아증
A32.0,7,Cutaneous listeriosis,피부리스테리아증
A32.1,7,Listerial meningitis and meningoencephalitis,리스테리아 수막염 및 수막뇌염
A32.7,7,Listerial sepsis,리스테리아패혈증
A32.8,7,Other forms of listeriosis,기타 형태의 리스테리아증
A32.9,7,"Listeriosis, unspecified",상세불명의 리스테리아증
A33,7,Tetanus neonatorum,신생아파상풍
A34,7,Obstetrical tetanus,산과적 파상풍
A35,7,Other tetanus,기타 파상풍
A36,7,Diphtheria,디프테리아
A36.0,7,Pharyngeal diphtheria,인두디프테리아
A36.1,7,Nasopharyngeal diphtheria,비인두디프테리아
A36.2,7,Laryngeal diphtheria,후두디프테리아
A36.3,7,Cutaneous diphtheria,피부디프테리아
A36.8,7,Other diphtheria,기타 디프테리아
A36.9,7,"Diphtheria, unspecified",상세불명의 디프테리아
A37,7,Whooping cough,백일해
A37.0,7,Whooping cough due to Bordetella pertussis,보르데텔라 페르투시스에 의한 백일해
A37.1,7,Whooping cough due to Bordetella para- pertussis,보르데텔라 파라페르투시스에 의한 백일해
A37.8,7,Whooping cough due to other Bordetella species,기타 보르데텔라균에 의한 백일해
A37.9,7,"Whooping cough, unspecified",상세불명의 백일해
A38,7,Scarlet fever,성홍열
A39,7,Meningococcal infection,수막구균감염
A39.0,7,Meningococcal meningitis(G01*),수막구균수막염(G01*)
A39.1,7,Waterhouse-Friderichsen syndrome(E35.1*),워터하우스-프리데릭센증후군(E35.1*)
A39.2,7,Acute meningococcaemia,급성 수막구균혈증
A39.3,7,Chronic meningococcaemia,만성 수막구균혈증
A39.4,7,"Meningococcaemia, unspecified",상세불명의 수막구균혈증
A39.5,7,Meningococcal heart disease,수막구균성 심장병
A39.8,7,Other meningococcal infections,기타 수막구균감염
A39.9,7,"Meningococcal infection, unspecified",상세불명의 수막구균감염
A40,7,Streptococcal sepsis,연쇄구균패혈증
A40.0,7,"Sepsis due to streptococcus, group A",연쇄구균A군에 의한 패혈증
A40.1,7,"Sepsis due to streptococcus, group B",연쇄구균B군에 의한 패혈증
A40.2,7,"Sepsis due to streptococcus, group D",연쇄구균D군에 의한 패혈증
A40.3,7,Sepsis due to Streptococcus pneumoniae,폐렴연쇄구균에 의한 패혈증
A40.8,7,Other streptococcal sepsis,기타 연쇄구균패혈증
A40.9,7,"Streptococcal sepsis, unspecified",상세불명의 연쇄구균패혈증
A41,7,Other sepsis,기타 패혈증
A41.0,7,Sepsis due to Staphylococcus aureus,황색포도구균에 의한 패혈증
A41.1,7,Sepsis due to other specified staphylococcus,기타 명시된 포도구균에 의한 패혈증
A41.2,7,Sepsis due to unspecified staphylococcus,상세불명의 포도구균에 의한 패혈증
A41.3,7,Sepsis due to Haemophilus influenzae,인플루엔자균에 의한 패혈증
A41.4,7,Sepsis due to anaerobes,무산소균에 의한 패혈증
A41.5,7,Sepsis due to other Gram-negative organisms,기타 그람음성균에 의한 패혈증
A41.8,7,Other specified sepsis,기타 명시된 패혈증
A41.9,7,"Sepsis, unspecified",상세불명의 패혈증
A42,7,Actinomycosis,방선균증
A42.0,7,Pulmonary actinomycosis,폐방선균증
A42.1,7,Abdominal actinomycosis,복부방선균증
A42.2,7,Cervicofacial actinomycosis,목얼굴방선균증
A42.7,7,Actinomycotic sepsis,방선균패혈증
A42.8,7,Other forms of actinomycosis,기타 형태의 방선균증
A42.9,7,"Actinomycosis, unspecified",상세불명의 방선균증
A43,7,Nocardiosis,노카르디아증
A43.0,7,Pulmonary nocardiosis,폐노카르디아증
A43.1,7,Cutaneous nocardiosis,피부노카르디아증
A43.8,7,Other forms of nocardiosis,기타 형태의 노카르디아증
A43.9,7,"Nocardiosis, unspecified",상세불명의 노카르디아증
A44,7,Bartonellosis,바르토넬라병
A44.0,7,Systemic bartonellosis,전신바르토넬라병
A44.1,7,Cutaneous and mucocutaneous bartonellosis,피부 및 점막피부 바르토넬라병
A44.8,7,Other forms of bartonellosis,기타 형태의 바르토넬라병
A44.9,7,"Bartonellosis, unspecified",상세불명의 바르토넬라병
A46,7,Erysipelas,단독(丹毒)
A48,7,"Other bacterial diseases, NEC",달리 분류되지 않은 기타 세균성 질환
A48.0,7,Gas gangrene,가스괴저
A48.1,7,Legionnaires’ disease,재향군인병
A48.2,7,Nonpneumonic Legionnaires’ disease [Pontiac fever],비폐렴성 재향군인병[폰티액열]
A48.3,7,Toxic shock syndrome,독성쇼크증후군
A48.4,7,Brazilian purpuric fever,브라질자반열
A48.8,7,Other specified bacterial diseases,기타 명시된 세균성 질환
A49,7,Bacterial infection of unspecified site,상세불명 부위의 세균감염
A49.0,7,"Staphylococcal infection, unspecified site",상세불명 부위의 포도구균감염
A49.1,7,"Streptococcal and enterococcal infection, unspecified site",상세불명 부위의 연쇄구균 및 장내구균 감염
A49.2,7,"Haemophilus influenzae infection, unspecified site",상세불명 부위의 인플루엔자균감염
A49.3,7,"Mycoplasma infection, unspecified site",상세불명 부위의 마이코플라스마감염
A49.8,7,Other bacterial infections of unspecified site,상세불명 부위의 기타 세균감염
A49.9,7,"Bacterial infection, unspecified",상세불명의 세균감염
A50,7,Congenital syphilis,선천매독
A50.0,7,"Early congenital syphilis, symptomatic",증상성 조기선천매독
A50.1,7,"Early congenital syphilis, latent",잠복성 조기선천매독
A50.2,7,"Early congenital syphilis, unspecified",상세불명의 조기선천매독
A50.3,7,Late congenital syphilitic oculopathy,만기 선천매독성 눈병증
A50.4,7,Late congenital neurosyphilis [juvenile neurosy- philis],만기 선천성 신경매독[연소성 신경매독]
A50.5,7,"Other late congenital syphilis, symptomatic",기타 증상성 만기선천매독
A50.6,7,"Late congenital syphilis, latent",잠복성 만기선천매독
A50.7,7,"Late congenital syphilis, unspecified",상세불명의 만기선천매독
A50.9,7,"Congenital syphilis, unspecified",상세불명의 선천매독
A51,7,Early syphilis,조기매독
A51.0,7,Primary genital syphilis,생식기의 일차매독
A51.1,7,Primary anal syphilis,항문의 일차매독
A51.2,7,Primary syphilis of other sites,기타 부위의 일차매독
A51.3,7,Secondary syphilis of skin and mucous membranes,피부 및 점막의 이차매독
A51.4,7,Syphilitic other secondary syphilis,매독성 기타 이차매독
A51.5,7,"Early syphilis, latent",잠복성 조기매독
A51.9,7,"Early syphilis, unspecified",상세불명의 조기매독
A52,7,Late syphilis,만기매독
A52.0,7,Cardiovascular syphilis,심혈관매독
A52.1,7,Symptomatic neurosyphilis,증상성 신경매독
A52.2,7,Asymptomatic neurosyphilis,무증상신경매독
A52.3,7,"Neurosyphilis, unspecified",상세불명의 신경매독
A52.7,7,Other symptomatic late syphilis,기타 증상성 만기매독
A52.8,7,"Late syphilis, latent",잠복성 만기매독
A52.9,7,"Late syphilis, unspecified",상세불명의 만기매독
A53,7,Other and unspecified syphilis,기타 및 상세불명의 매독
A53.0,7,"Latent syphilis, unspecified as early or late",조기인지 만기인지 상세불명의 잠복매독
A53.9,7,"Syphilis, unspecified",상세불명의 매독
A54,7,Gonococcal infection,임균감염
A54.0,7,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,요도주위 또는 부속선에 농양이 없는 하부 비뇨생식관의 임균감염
A54.1,7,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess,요도주위 및 부속선에 농양이 있는 하부 비뇨생식관의 임균감염
A54.2,7,Gonococcal pelviperitonitis and other gonococcal genitourinary infections,임균성 골반복막염 및 기타 임균성 비뇨생식기감염
A54.3,7,Gonococcal infection of eye,눈의 임균감염
A54.4,7,Gonococcal infection of musculoskeletal system,근골격계통의 임균감염
A54.5,7,Gonococcal pharyngitis,임균인두염
A54.6,7,Gonococcal infection of anus and rectum,항문 및 직장의 임균감염
A54.8,7,Other gonococcal infections,기타 임균감염
A54.9,7,"Gonococcal infection, unspecified",상세불명의 임균감염
A55,7,Chlamydial lymphogranuloma(venereum),클라미디아림프육아종(성병성)
A56,7,Other sexually transmitted chlamydial diseases,기타 성행위로 전파되는 클라미디아질환
A56.0,7,Chlamydial infection of lower genitourinary tract,하부비뇨생식관의 클라미디아감염
A56.1,7,Chlamydial infection of pelviperitoneum and other genitourinary organs,골반복막 및 기타 비뇨생식기관의 클라미디아감염
A56.2,7,"Chlamydial infection of genitourinary tract, unspecified",상세불명의 비뇨생식관의 클라미디아감염
A56.3,7,Chlamydial infection of anus and rectum,항문 및 직장의 클라미디아감염
A56.4,7,Chlamydial infection of pharynx,인두의 클라미디아감염
A56.8,7,Sexually transmitted chlamydial infection of other sites,기타 부위의 성행위로 전파되는 클라미디아감염
A57,7,Chancroid,무른궤양
A58,7,Granuloma inguinale,사타구니육아종
A59,7,Trichomoniasis,편모충증
A59.0,7,Urogenital trichomoniasis,비뇨생식기의 편모충증
A59.8,7,Trichomoniasis of other sites,기타 부위의 편모충증
A59.9,7,"Trichomoniasis, unspecified",상세불명의 편모충증
A60,7,Anogenital herpesviral [herpes simplex] infection,항문생식기의 헤르페스바이러스[단순헤르페스]감염
A60.0,7,Herpesviral infection of genitalia and urogenital tract,생식기 및 비뇨생식관의 헤르페스바이러스감염
A60.1,7,Herpesviral infection of perianal skin and rectum,항문주위피부 및 직장의 헤르페스바이러스감염
A60.9,7,"Anogenital herpesviral infection, unspecified",상세불명의 항문생식기의 헤르페스바이러스감염
A63,7,"Other predominantly sexually transmitted diseases, NEC",달리 분류되지 않은 기타 주로 성행위로 전파되는 질환
A63.0,7,Anogenital(venereal) warts,항문생식기의(성병성) 사마귀
A63.8,7,Other specified predominantly sexually transmitted diseases,기타 명시된 주로 성행위로 전파되는 질환
A64,7,Unspecified sexually transmitted disease,상세불명의 성매개질환
A65,7,Nonvenereal syphilis,비성병성 매독
A66,7,Yaws,요스
A66.0,7,Initial lesions of yaws,요스의 초기병변
A66.1,7,Multiple papillomata and wet crab yaws,다발성 유두종 및 습성 요스
A66.2,7,Other early skin lesions of yaws,기타 요스의 조기피부병변
A66.3,7,Hyperkeratosis of yaws,요스의 과각화증
A66.4,7,Gummata and ulcers of yaws,요스의 고무종 및 궤양
A66.5,7,Gangosa,강고사
A66.6,7,Bone and joint lesions of yaws,요스의 골 및 관절 병변
A66.7,7,Other manifestations of yaws,기타 요스의 증상
A66.8,7,Latent yaws,잠복요스
A66.9,7,"Yaws, unspecified",상세불명의 요스
A67,7,Pinta[carate],핀타
A67.0,7,Primary lesions of pinta,핀타의 일차병변
A67.1,7,Intermediate lesions of pinta,핀타의 중간병변
A67.2,7,Late lesions of pinta,핀타의 만기병변
A67.3,7,Mixed lesions of pinta,핀타의 혼합병변
A67.9,7,"Pinta, unspecified",상세불명의 핀타
A68,7,Relapsing fevers,재귀열
A68.0,7,Louse-borne relapsing fever,이매개 재귀열
A68.1,7,Tick-borne relapsing fever,진드기매개 재귀열
A68.9,7,"Relapsing fever, unspecified",상세불명의 재귀열
A69,7,Other spirochaetal infections,기타 스피로헤타감염
A69.0,7,Necrotizing ulcerative stomatitis,괴사궤양성 구내염
A69.1,7,Other Vincent’s infections,기타 뱅상감염
A69.2,7,Lyme disease,라임병
A69.8,7,Other specified spirochaetal infections,기타 명시된 스피로헤타감염
A69.9,7,"Spirochaetal infection, unspecified",상세불명의 스피로헤타감염
A70,7,Chlamydia psittaci infection,클라미디아 시타시 감염
A71,7,Trachoma,트라코마
A71.0,7,Initial stage of trachoma,트라코마의 초기
A71.1,7,Active stage of trachoma,트라코마의 활동기
A71.9,7,"Trachoma, unspecified",상세불명의 트라코마
A74,7,Other diseases caused by chlamydiae,클라미디아에 의한 기타 질환
A74.0,7,Chlamydial conjunctivitis(H13.1*),클라미디아결막염(H13.1*)
A74.8,7,Other chlamydial diseases,기타 클라미디아질환
A74.9,7,"Chlamydial infection, unspecified",상세불명의 클라미디아감염
A75,7,Typhus fever,발진티푸스
A75.0,7,Epidemic louse-borne typhus fever due to Rickettsia prowazekii,리케차 프로와제키에 의한 유행성 이매개발진티푸스
A75.1,7,Recrudescent typhus [Brill’s disease],재발성 발진티푸스[브릴병]
A75.2,7,Typhus fever due to Rickettsia typhi,리케차 티피에 의한 발진티푸스
A75.3,7,Typhus fever due to Rickettsia tsutsugamushi,리케차 쯔쯔가무시에 의한 발진티푸스
A75.9,7,"Typhus fever, unspecified",상세불명의 발진티푸스
A77,7,Spotted fever [tick-borne rickettsioses],홍반열[진드기매개 리케차병]
A77.0,7,Spotted fever due to Rickettsia rickettsii,리케차 리케치에 의한 홍반열
A77.1,7,Spotted fever due to Rickettsia conorii,리케차 코노리에 의한 홍반열
A77.2,7,Spotted fever due to Rickettsia siberica,리케차 시베리카에 의한 홍반열
A77.3,7,Spotted fever due to Rickettsia australis,리케차 오스트랄리스에 의한 홍반열
A77.8,7,Other spotted fevers,기타 홍반열
A77.9,7,"Spotted fever, unspecified",상세불명의 홍반열
A78,7,Q fever,큐열
A79,7,Other rickettsioses,기타 리케차병
A79.0,7,Trench fever,참호열
A79.1,7,Rickettsialpox due to Rickettsia akari,리케차 아카리에 의한 리케차폭스
A79.8,7,Other specified rickettsioses,기타 명시된 리케차병
A79.9,7,"Rickettsiosis, unspecified",상세불명의 리케차병
A80,7,Acute poliomyelitis,급성 회색질척수염
A80.0,7,"Acute paralytic poliomyelitis, vaccine-associated",백신 관련 급성 마비성 회색질척수염
A80.1,7,"Acute paralytic poliomyelitis, wild virus, imported",수입된 야생형바이러스에 의한 급성 마비성 회색질척수염
A80.2,7,"Acute paralytic poliomyelitis, wild virus, indigenous",토착성 야생형바이러스에 의한 급성 마비성 회색질척수염
A80.3,7,"Acute paralytic poliomyelitis, other and unspecified",기타 및 상세불명의 급성 마비성 회색질척수염
A80.4,7,Acute nonparalytic poliomyelitis,급성 비마비성 회색질척수염
A80.9,7,"Acute poliomyelitis, unspecified",상세불명의 급성 회색질척수염
A81,7,Atypical virus infections of central nervous system,중추신경계통의 비정형바이러스감염
A81.0,7,Creutzfeldt-Jakob disease,크로이츠펠트-야콥병
A81.1,7,Subacute sclerosing panencephalitis,아급성 경화성 범뇌염
A81.2,7,Progressive multifocal leukoencephalopathy,진행성 다초점백질뇌병증
A81.8,7,Other atypical virus infections of central nervous system,중추신경계통의 기타 비정형바이러스감염
A81.9,7,"Atypical virus infection of central nervous system, unspecified",중추신경계통의 상세불명의 비정형바이러스감염
A82,7,Rabies,광견병
A82.0,7,Sylvatic rabies,삼림형광견병
