,,,,,,,,,,,
ARRN,SEQ,HLT,soc1,soc2,soc3,english,용어1,용어2,용어3,용어4,용어5
0047,006,0047,1820,,,APPLICATION SITE ERYTHEMA,적용부위홍반,시술부위반응홍반,투약부위반응홍반,,
0047,007,0047,1820,,,APPLICATION SITE IRRITATION,적용부위자극,시술부위반응자극,투약부위반응자극,,
0047,008,0047,1820,,,APPLICATION SITE BURNING,적용부위작열감,시술부위반응작열감,투약부위반응작열감,,
0047,009,0047,1820,,,APPLICATION SITE INFLAMMATION,적용부위염증,시술부위반응염증,투약부위반응염증,,
0047,010,0047,1820,,,APPLICATION SITE WARMTH,적용부위온감,시술부위반응온감,투약부위반응온감,,
0047,011,0047,1820,,,APPLICATION SITE INFECTION,적용부위감염,시술부위반응감염,투약부위반응감염,,
0047,012,0047,1820,,,APPLICATION SITE DISCHARGE,적용부위분비물,시술부위반응분비물,투약부위반응분비물,,
0047,013,0047,1820,,,APPLICATION SITE DISCOLOURATION,적용부위변색,시술부위반응변색,투약부위반응변색,,
0047,014,0047,1820,,,APPLICATION SITE SCAR,적용부위흉터,시술부위반응흉터,투약부위반응흉터,,
0048,001,0047,1820,,,APPLICATION SITE OEDEMA,적용부위부종,시술부위반응부종,투약부위반응부종,,
0049,001,0049,0100,1820,,DERMATITIS CONTACT,접촉성피부염,접촉피부염,,,
0049,003,0049,0100,1820,,DERMATITIS VENENATA,독물피부염,,,,
0049,004,0049,0100,1820,,DERMATITIS EXTRINSIC ALLERGIC,외인성알레르기피부염,,,,
0051,001,0058,1820,,,INJECTION SITE ABSCESS STERILE,무균성주사부위고름집,무균주사부위농양,주사부위무균고름집,주사부위무균농양,
0052,001,0058,1820,,,INJECTION SITE ATROPHY,주사부위위축,주사부위피부위축,주사부위피부꺼짐,주사부위함몰,
0053,001,0058,1820,,,INJECTION SITE FIBROSIS,주사부위섬유화,,,,
0054,001,0058,1820,,,INJECTION SITE INFLAMMATION,주사부위염증,,,,
0054,003,0058,1820,,,INFLAMMATORY SWELLING,염증성부기,,,,
0054,005,0058,1820,,,INFLAMMATORY OEDEMA REACTION,염증성부종반응,,,,
0054,006,0058,1820,,,INFLAMMATION LOCALIZED,국소염증,국소적염증,,,
0054,007,0058,1820,,,INJECTION SITE BURNING,주사부위작열감,,,,
0054,008,0058,1820,,,INJECTION SITE VESICLES,주사부위잔물집,주사부위물집,,,
0054,009,0058,1820,,,POST PROCEDURAL CELLULITIS,시술후연조직염,시술후봉소염,치료절차로인한연조직염,,
0054,010,0058,1820,,,INJECTION SITE TENDERNESS,주사부위누름통증,주사부위압통,주사부위통증,,
0055,001,0058,1820,,,INJECTION SITE MASS,주사부위덩어리,주사부위덩어리짐,,,
0055,002,0058,1820,,,INJECTION SITE INDURATION,주사부위경화,,,,
0055,003,0058,1820,,,INJECTION SITE NODULE,주사부위결절,,,,
0056,001,0058,1820,,,INJECTION SITE NECROSIS,주사부위괴사,,,,
0057,001,0058,1820,,,INJECTION SITE PAIN,주사부위통증,,,,
0058,001,0058,1820,,,INJECTION SITE REACTION,주사부위반응,,,,
0058,003,0058,1820,,,INJECTION SITE IRRITATION,주사부위자극,,,,
0058,004,0058,1820,,,INJECTION SITE EXTRAVASATION,주사부위혈관밖유출,주사부위혈관외유출,주사부위혈관유출,,
0058,005,0058,1820,,,INJECTION SITE SWELLING,주사부위부기,주사부위종창,,,
0058,006,0058,1820,,,INJECTION SITE BULLAE,주사부위물집,주사부위수포,,,
0058,007,0058,1820,,,INJECTION SITE SCAR,주사부위흉터,,,,
0058,008,0058,1820,,,INJECTION SITE WARMTH,주사부위온감,,,,
0058,009,0058,1820,,,INJECTION SITE DISCHARGE,주사부위분비물,,,,
0059,001,0049,0100,1820,,OTITIS EXTERNA,외이염,외이도염,바깥귀길염,,
0059,003,0049,0100,1820,,AUDITORY MEATUS EXTERNAL EROSION,외이도미란,외이도까짐,,,
0060,001,,0100,,,SKIN NECROSIS,피부괴사,,,,
0061,001,,0100,,,SKIN NODULE,피부결절,,,,
0062,001,,1820,0410,,ANAESTHESIA LOCAL,국소마취,부분마취,국소무감각,국소감각상실,
0062,005,,1820,0410,,INFILTRATION ANAESTHESIA,침윤마취,침습적마취,침윤성감각상실,침윤성무감각,
0063,001,,0200,,,ARTHRALGIA,관절통,,,,
0063,003,,0200,,,ARTHRITIC-LIKE PAIN,관절염유사통증,관절염양통증,,,
0063,004,,0200,,,JOINT ACHE,관절통증,관절통,관절아픔,,
0063,005,,0200,,,JOINT PAIN,관절통증,관절통,관절아픔,,
0063,006,,0200,,,ARTHRALGIA AGGRAVATED,관절통악화,악화된관절통,,,
0063,007,,0200,,,ARTHRALGIA MULTIPLE,다발성관절통,,,,
0064,001,0065,0200,,,ARTHRITIS,관절염,,,,
0064,003,0065,0200,,,POLYARTHRITIS GENERALIZED,전신성다발성관절염,전신성다발관절염,전신관절염,,
0064,004,0065,0200,,,JOINT INFLAMMATION,관절염증,관절염,,,
0064,006,0065,0200,,,OSTEOARTHRITIS,골관절염,골성관절염,뼈관절염,,
0064,007,0065,0200,,,POLYARTHRITIS,다발성관절염,,,,
0064,008,0065,0200,,,MONOARTHRITIS,단일관절염,홑관절염,,,
0064,009,0065,0200,,,ARTHRITIS PSORIATIC,건선성관절염,건선관절염,,,
0064,010,0065,0200,,,OSTEOARTHRITIS LOCALISED,국소성골관절염,국소적골관절염,국소골관절염,,
0065,001,0065,0200,,,ARTHROPATHY,관절병증,,,,
0065,003,0065,0200,,,JOINT DYSFUNCTION,관절기능이상,관절기능장애,,,
0065,004,0065,0200,,,TEMPORO-MANDIBULAR JOINT DYSFUNCTION,악관절기능이상,턱관절기능이상,턱관절이상,,
0065,005,0065,0200,,,JOINT SWELLING NON-INFLAMMATORY,비염증성관절부기,비염증성관절종창,비염증성관절부음,,
0065,006,0065,0200,,,HYDRARTHROSIS,관절수종,물관절증,관절물참,,
0065,007,0065,0200,,,JOINT EFFUSION,관절삼출,관절유출,관절물참,,
0065,008,0065,0200,,,ARTHROPATHY AGGRAVATED,관절병증악화,악화된관절병증,,,
0065,009,0065,0200,,,JOINT EFFUSION AGGRAVATED,관절삼출악화,악화된관절삼출,,,
0065,010,0065,0200,,,POLYARTHROPATHY,다발성관절병증,다발성관절병,,,
0065,011,0065,0200,,,ARTHROPATHY CRYSTAL,결정성관절병증,관절병결정체,,,
0065,012,0065,0200,,,ARTHROFIBROSIS,관절섬유증,관절섬유화,,,
0066,001,0065,0200,,,ARTHROSIS,관절증,,,,
0066,003,0065,0200,,,JOINT STIFFNESS,관절경직,관절뻣뻣함,,,
0066,005,0065,0200,,,DYSARTHROSIS,관절이상,관절기능이상,관절장애,,
0067,001,0067,0200,,,BONE DISORDER,골질환,뼈질환,골장애,,
0067,003,0067,0200,,,PERIOSTEAL DISORDER,뼈막장애,골막성질환,골막장애,골막질환,
0067,004,0067,0200,,,BONE CYST,뼈낭,골낭종,골낭,,
0067,005,0067,0200,,,PRIMARY SEQUESTRUM,원발성부골,완전분리죽은뼈,초기부골,초기부골편,
0067,006,0067,0200,,,EXTRASKELETAL OSSIFICATION,골격외골형성,골격외골화,골외성골화증,외부골형성,
0068,001,0068,0410,0200,,DYSTONIA,근육긴장이상,근긴장이상증,근긴장이상,,
0068,003,0068,0410,0200,,TRISMUS,개구장애,입벌림장애,입열지못함,,
0068,004,0068,0410,0200,,SPASM OROPHARYNGEAL,구인두연축,입인두연축,구인두경련,입인두경련,
0068,005,0068,0410,0200,,SPASM TONGUE,혀연축,혀경련,,,
0068,006,0068,0410,0200,,SPASMS,연축,경련,,,
0068,007,0068,0410,0200,,CERVICAL SPASM,경부연축,목경련,목연축,경부경련,
0068,008,0068,0410,0200,,DYSTONIA AGGRAVATED,근육긴장이상악화,악화된근긴장이상증,근긴장이상악화,,
0068,009,0068,0410,0200,,INFANTILE SPASMS,영아연축,영아경련,,,
0068,010,0068,0410,0200,,DYSTONIA TARDA,지연성근긴장이상증,지연성근긴장이상,만발근긴장이상,,
0068,011,0068,0410,0200,,SPASM FACIAL,안면연축,얼굴연축,얼굴경련,,
0068,012,0068,0410,0200,,MEIGE'S SYNDROME,메이그증후군,메이지증후군,MEIGE증후군,,
0069,001,2190,0200,,,FRACTURE PATHOLOGICAL,병적골절,병리적골절,,,
0070,001,,0200,1230,,HAEMARTHROSIS,혈관절증,출혈관절증,관절혈증,관절피참,
0072,001,0074,0200,,,MUSCLE ATROPHY,근육위축,근위축,,,
0072,003,0074,0200,,,AMYOTROPHY,근위축,근위축증,근육위축,,
0072,004,0074,0200,,,AMYOTROPHY DIABETIC,당뇨성근위축,당뇨성근육위축,당뇨로인한근육위축,,
0073,001,,0200,,,MYALGIA,근육통,근육통증,,,
0073,003,,0200,,,MUSCLE DISCOMFORT,근육불편,,,,
0073,004,,0200,,,MUSCLE PAIN,근육통,근육통증,,,
0073,005,,0200,,,MUSCLE TENDERNESS ANY SITE,근육압통,전반적근육통증,근육누름통증,,
0073,006,,0200,,,MUSCLE ACHE,근육통,근육통증,근육아픔,,
0073,007,,0200,,,MUSCLE CRAMP,근육경련,근경련,,,
0073,008,,0200,,,CRAMPS,경련,,,,
0073,009,,0200,,,MUSCLE CRAMPS AGGRAVATED,악화된근경련,근육경련악화,,,
