성분코드,성분명(한),성분명(영)
M040066,니트로푸라존,Nitrofurazone
M040067,니트로푸란토인,Nitrofurantoin
M040069,답손,Dapsone
M040070,당귀,Angelica Gigas Root
M040071,대추,Jujube
M040073,대황,Rhubarb
M040074,종대황,Rhei Undulatai Rhizoma
M040080,덱사메타손,Dexamethasone
M040082,덱스트란40,Dextran 40
M040083,덱스트란70,Dextran 70
M040085,덱스트린,Dextrin
M040086,도인,Peach Kernel
M040089,두충,Eucommiae Cortex
M040090,등피,Aurantii Pericarpuim
M040091,디곡신,Digoxin
M040094,디메르카프롤,Dimercaprol
M040096,디멘히드리네이트,Dimenhydrinate
M040102,디아제팜,Diazepam
M040108,디펜히드라민,Diphenhydramine
M040117,라놀린,Lanolin
M040118,정제라놀린,Purified Lanolin
M040121,레몬유,Lemon Oil
M040122,레보도파,Levodopa
M040124,레세르핀,Reserpine
M040125,레소르시놀,Resorcinol
M040128,베라프로스트나트륨,Beraprost Sodium
M040131,리도카인,Lidocaine
M040133,리보플라빈,Riboflavin
M040135,마황,Ephedra Herb
M040139,맥문동,Liriope Tuber
M040141,메글루민,Meglumine
M040148,메르캅토푸린,Mercaptopurine
M040168,메토트렉세이트,Methotrexate
M040170,메트로니다졸,Metronidazole
M040172,메페네신,Mephenesin
M040173,메프로바메이트,Meprobamate
M040176,아세토페논,Acetophenone
M040177,모근,Imperata Rhizome
M040180,모려,Oyster Shell
M040185,목단피,Moutan Root Bark
M040186,목통,Akebia Stem
M040187,목향,Aucklandiae Radix
M040188,몰약,Myrrh
M040191,미삼,Ginseng Radix Palva
M040192,밀전분,Wheat Starch
M040198,박하,Mentha Herb
M040199,박하수,Mentha Water
M040200,박하유,Mentha Herb Oil
M040202,반하,Pinellia Tuber
M040205,방풍,Saposhnikovia Root
M040208,백납,White Beeswax
M040210,정제백당,Purified Sucrose
M040211,백반,Alumen
M040214,백출,Atractylodes Rhizome White
M040216,백지,Angelica Dahurica Root
M040218,베타메타손,Betamethasone
M040220,벤질알코올,Benzyl Alcohol
M040221,벤토나이트,Bentonite
M040222,벤토나이트마그마,Bentonite Magma
M040225,복령,Poria
M040226,부설판,Busulfan
M040227,부자,Prepared Aconite
M040228,향부자,Cyperus Rhizome
M040233,붕사,Sodium Borate
M040236,붕산,Boric Acid
M040240,브롬화나트륨,Sodium Bromide
M040244,브롬화칼륨,Potassium Bromide
M040245,브롬화칼슘,Calcium Bromide
M040249,비타민A유,Vitamin A Oil
M040251,빈랑자,Areca
M040253,사향,Moschus
M040255,산사자,Crataegi Fructus
M040256,산소,Oxygen
M040257,산수유,Cornus Fruit
M040258,산약,Dioscorea Rhizome
M040260,산초,Zanthoxylum Peel
M040262,산화마그네슘,Magnesium Oxide
M040264,살리실산,Salicylic Acid
M040268,살리실산나트륨,Sodium Salicylate
M040269,살리실아미드,Salicylamide
M040271,상백피,Mulberry Root Bark
M040273,쌀전분,Rice Starch
M040277,석류피,Granati Cortex
M040279,석고,Gypsum Fibrosum
M040283,설파메톡사졸,Sulfamethoxazole
M040284,설파메톡시피리다진,Sulfamethoxypyridazine
M040291,섬수,Toad Venom
M040292,세네가,Senega
M040293,세신,Asiasarum Root and Rhizome
M040297,센나,Senna
M040299,소두구,Cardamomi Fructus
M040301,소엽,Perilla Herb
M040303,송지,Rosin
M040306,수산화마그네슘,Magnesium Hydroxide
M040309,수산화칼륨,Potassium Hydroxide
M040310,수산화칼슘,Calcium Hydroxide
M040312,스코폴리아근,Scopolia Rhizome
M040329,승마,Cimicifuga Rhizome
M040331,분당,Separated Sugar
M040333,시클로포스파미드,Cyclophosphamide
M040334,시타라빈,Cytarabine
M040336,시호,Bupleurum Root
M040340,아마인,Linseed
M040346,아미노필린,Aminophylline
M040349,아산화질소,Nitrous Oxide
M040350,아선약,Gambir
M040351,아세타졸아미드,Acetazolamide
M040353,아세트아미노펜,Acetaminophen
M040355,아스피린,Aspirin
M040356,아스피린알루미늄,Aspirin Aluminium
M040359,아세클로페낙,Aceclofenac
M040366,아크리놀,Acrinol
M040369,인터페론알파-2B,Interferon Alpha-2B
M040378,아황산수소나트륨,Sodium Bisulfite
M040379,안식향,Benzoin
M040384,안티피린,Antipyrine
M040387,알로푸리놀,Allopurinol
M040391,암모니아수,Ammonia Water
M040394,약용탄,Medicinal Carbon
M040397,에르고칼시페롤,Ergocalciferol
M040401,에스트라디올,Estradiol
M040411,소독용에탄올,Rubbing Ethanol
M040414,무수염화칼슘,Anhydrous Calcium Chloride
M040417,에텐자미드,Ethenzamide
M040421,에피네프린,Epinephrine
M040426,염화나트륨,Sodium Chloride
M040434,염화아연,Zinc Chloride
M040436,염화제이수은,Mercury (II) Chloride
M040437,염화제이철,Ferric Chloride
M040438,염화칼륨,Potassium Chloride
M040439,염화칼슘,Calcium Chloride
M040443,오가피,Acanthopanax Root Bark
M040444,오렌지유,Orange Oil
M040445,오미자,Schisandra Fruit
M040446,오배자,Rhus Galls
M040447,오수유,Evodia Fruit
M040449,옥수수기름,Corn Oil
M040450,옥수수전분,Corn Starch
M040453,옥시토신,Oxytocin
M040455,올리브유,Olive Oil
M040461,요오드,Iodine
M040467,요오드화나트륨,Sodium Iodide
M040469,벤즈히드롤,Benzhydrol
M040471,벤젠설폰산,Benzenesulfonic Acid
M040473,요오드화칼륨,Potassium Iodide
M040474,용담,Gentian Root and Rhizome
M040476,우슬,Achyranthes Root
M040478,우황,Cattle Gallstone
M040479,운데실렌산,Undecylenic Acid
M040481,울금,Curcuma Root
M040482,원지,Polygala Root
M040484,유당,Lactose
M040486,육두구,Nutmeg
M040487,의이인,Coix Seed
M040488,이노시톨,Inositol
M040491,이산화탄소,Carbon Dioxide
M040499,이소프로필안티피린,Isopropylantipyrine
M040506,익모초,Leonurus Herb
M040507,익지,Bitter Cardamon
M040508,인도메타신,Indometacin
M040514,방사성인산일수소나트륨,"Radioactive Sodium Phosphate Dibasic, Anhydrous"
M040516,인슐린,Insulin
M040521,자근,Lithospermum Root
M040523,작약,Peony Root
M040524,장미유,Rose oil
M040526,멸균정제수,Sterile Purified Water
M040527,정향,Clove
M040532,정제젤라틴,Purified Gelatin
M040534,주사용수,Water For Injection
M040535,지모,Anemarrhena Rhizome
M040536,지실,Poncirus Immature Fruit
M040537,지황,Rehmannia Root
M040540,질산은,Silver Nitrate
M040541,질산칼륨,Potassium Nitrate
M040542,질소,Nitrogen
M040545,차전자,Plantago Seed
M040547,참기름,Sesame Oil
M040548,창출,Atractylodes Rhizome
M040549,채종유,Rape Seed Oil
M040550,천궁,Cnidium Rhizome
M040564,치자,Gardenia Fruit
M040565,친수연고,Hydrophilic Ointment
M040568,카르바르손,Carbarsone
M040569,카르바마제핀,Carbamazepine
M040574,카올린,Kaolin
M040579,카페인(함수),Caffeine Monohydrate
M040582,칼라민,Calamine
M040593,콜레스테롤,Cholesterol
M040594,콜레칼시페롤,Cholecalciferol
M040597,탄성콜로디온,Collodion Flexible
M040604,크레솔,Cresol
M040605,크레솔비누액,Saponated Cresol Solution
M040606,크레오소트,Creosote
M040609,클로람부실,Chlorambucil
M040610,클로로부탄올,Chlorobutanol
M040612,클로르메자논,Chlormezanone
M040614,클로르족사존,Chlorzoxazone
M040615,클로르탈리돈,Chlorthalidone
M040622,클리노피브레이트,Clinofibrate
M040624,자일리톨,Xylitol
M040625,탄닌산,Tannic Acid
M040626,탄산나트륨,Sodium Carbonate
M040627,건조탄산나트륨,Dried Sodium Carbonate
M040628,탄산리튬,Lithium Carbonate
M040629,탄산마그네슘,Magnesium Carbonate
M040632,탄산수소칼륨,Potassium Bicarbonate
M040633,탄산칼륨,Potassium Carbonate
M040634,침강탄산칼슘,Precipitated Calcium Carbonate
M040635,탈지면,Absorbent Cotton
M040638,택사,Alisma Rhizome
M040639,테스토스테론,Testosterone
M040643,테오필린,Theophylline
M040646,토근,Ipecac
M040647,토코페롤,Tocopherol
M040650,톨나프테이트,Tolnaftate
M040654,트라가칸타,Tragacantha
M040657,트로픽아미드,Tropicamide
M040658,트롬빈,Thrombin
M040661,트리암시놀론,Triamcinolone
M040662,트리암시놀론아세토니드,Triamcinolone Acetonide
M040663,트리암테렌,Triamterene
M040672,파두,Croton Seed
M040675,파라핀,Paraffin
M040678,판크레아틴,Pancreatin
M040685,페노바르비탈,Phenobarbital
M040688,페놀,Phenol
M040691,액상페놀,Liquefied Phenol
M040695,페놀설폰프탈레인,Phenolsulfonphthalein
M040700,펜토바르비탈나트륨,Pentobarbital Sodium
M040702,포도당,Glucose
M040703,포르말린,Formalin
M040714,표백분,Chlorinated Lime
M040715,푸로세미드,Furosemide
M040717,프레드니솔론,Prednisolone
M040719,프로게스테론,Progesterone
M040722,프로베네시드,Probenecid
M040730,프로테인은,Silver Protein
M040736,프리미돈,Primidone
M040739,플루오레세인나트륨,Fluorescein Sodium
M040740,플루오로우라실,Fluorouracil
M040741,플루오시놀론아세토니드,Fluocinolone Acetonide
M040746,피라진아미드,Pyrazinamide
M040748,피록실린,Pyroxylin
M040752,피리메타민,pyrimethamine
M040753,피마자유,Castor Oil
M040762,하고초,Prunella Spike
M040764,한천,Agar
M040765,할로탄,Halothane
M040766,할로페리돌,Haloperidol
M040767,해방풍,Glehnia Root
M040768,해인초,Digenea
M040769,행인,Apricot Kernel
M040774,현초,Geranium Herb
M040775,현호색,Corydalis Tuber
M040784,홍삼,Red Ginseng
M040785,홍화,Safflower
M040786,환원철,Reduced Iron
M040787,황,Sulfur
M040789,황금,Scutellaria Root
M040790,황기,Astragalus Root
M040791,황납,Yellow Beeswax
M040792,황련,Coptis Rhizome
M040793,황백,Phellodendron Bark
M040798,건조황산나트륨,Dried Sodium Sulfate
M040801,황산바륨,Barium Sulfate
M040803,황산알루미늄,Aluminium Sulfate
M040806,황산칼륨,Potassium Sulfate
M040811,회향,Fennel
M040812,회향유,Fennel Oil
M040813,후박,Magnolia Bark
M040815,후추,Piperis Nigri Fructus
M044300,포도당일수화물,Glucose Monohydrate
M050001,감광소301호,Photosensitives No.301
M050005,가자,Terminalia Fruit
M050006,가자피,Terminalia Chebula
M050016,구감초,
M050022,강활,Ostericum Root
M050023,계심,Cassiae Cortex Interior
M050027,건칠,Lacca Rhois Exsiccata
M050036,육계,Cinnamon Bark
M050037,계지,Cinnamomi Ramulus
M050039,고련피,Meliae Cortex
M050040,고무,Rubber
M050041,고본,Ligustici Tenuissimi Rhizoma et Radix
M050042,교이,Saccharum Granorum
M050045,과붕산나트륨,Sodium Perborate
M050046,과산화수소,Hydrogen Peroxide
M050047,과테크네튬산나트륨(99mTc),Sodium Pertechnetate (99MTC)
M050048,곽향,Agastachis Herba
M050049,관계,Cinnamomi Cortex Spissus
M050050,괴각,Sophorae Fructus
M050055,구아노신,Guanosine
M050057,구아야콜,Guaiacol
M050058,구아이페네신,Guaifenesin
M050059,구아야콜설폰산칼륨,Potassium Guaiacolsulfonate
M050065,구절초,Chrysanthemi Zawadskii Herba
M050069,규산알루미늄나트륨,Sodium Aluminium Silicate
M050081,글루콘산망간,Manganese Gluconate
M050083,글루쿠로노락톤,Glucuronolactone
M050096,글리시리진산,Glycyrrhizic Acid
M050102,글리벤클라미드,Glibenclamide
M050104,글리코피롤레이트,Glycopyrrolate
M050106,금박,Aurum
M050107,금은화,Lonicera Flower
M050112,나도롤,Nadolol
M050116,나프록센,Naproxen
M050120,납두균말(소화균말),
M050125,프탈트린(네오피나민),Phthalthrin (Neopinamin)
M050135,노이시린,Neusilin
M050139,녹용,Cervi Parvum Cornu
M050145,뉴솔브,
M050147,니모라졸,Nimorazole
M050152,니코틴산벤질에스테르,Benzyl Nicotinate Ester
M050155,니트로메탄,Nitromethane
M050164,니페디핀,Nifedipine
M050174,다이제트500,Dizet 500
M050176,단삼,Salvia Miltiorrhiza Root
M050178,몬탄글리콜왁스,Montan Glycol Wax
M050184,당목향,
M050185,당약,Swertia Herb
M050186,리팍시민,Rifaximin
M050191,대두황권,Glycine Semen Germinatum
M050197,데속시메타손,Desoximetasone
M050215,덱스트란,Dextran
M050227,독활,Aralia Continentalis Root
M050230,드로프로피진,Dropropizine
M050236,디드로게스테론,Dydrogesterone
M050252,디부틸히드록시톨루엔,Dibutylhydroxytoluene
M050254,디부카인,Dibucaine
M050255,디설피람,Disulfiram
M050278,글루쿠론산디에탄올아민,Diethanolamine Glucuronate
M050281,소포펠릿,Antiforming pellet
M050285,o-디클로로벤젠,o-Dichlorobenzene
M050288,디클로페낙나트륨,Diclofenac Sodium
M050302,디프로필린,Diprophylline
M050305,디피리다몰,Dipyridamole
M050325,라브라필,Labrafil
M050350,2-브로모프로판,2-Bromopropane
M050377,올리고당,Oligosaccharide
M050379,리파제,Lipase
M050381,린단,Lindane
M050385,마그네슘,Magnesium
M050389,마그세린,Magcerin
M050395,마자인,Majainhwan
M050396,부탄,Butane
M050397,마치현,Portulacae Herba
M050400,만니톨,Mannitol
M050407,맥아,Hordei Fructus Germinatus
M050409,메나디온아황산수소나트륨,Menadione Sodium Bisulfite
M050412,티오프로닌,Tiopronin
M050415,메벤다졸,Mebendazole
M050423,메티마졸,Methimazole
M050435,솔코세릴120농축물,Solcoseryl 120 Concentrate Solution
M050436,메코발라민,Mecobalamin
M050446,메퀴타진,Mequitazine
M050448,메타규산알루민산마그네슘,Magnesium Aluminometasilicate
M050463,메토카르바몰,Methocarbamol
M050465,메토클로프라미드,Metoclopramide
M050475,살충향,Insecticidal Flavor
M050479,면실유,Cottonseed Oil
M050488,모노에탄올아민,Monoethanolamine
M050494,몰리브덴산나트륨,Sodium Molybdate
M050495,몰리브덴산암모늄,Ammonium Molybdate
M050499,목별자,Momordicae Semen
M050503,반묘,Cantharides
M050504,몰신,Molsin
M050516,인공산딸기향,Artificially Strengthened Natural Raspberry Flavoring
M050521,바닐린,Vanillin
M050533,방기,Sinomenium Stem
M050535,백강잠,Batryticatus Bombyx
M050538,백급,Bletillae Rhizoma
M050539,백단향,Santali Albi Lignum
M050540,백두구,Round Amomum Fruit
M050541,백렴,Ampelopsis Radix
M050543,백굴채,Chelidonii Herba
M050550,백자인,Thuja Seed
M050571,베타인,Betaine
M050572,글루쿠론산베타인,Betaine Glucuronate
M050584,인삼25%에탄올유동엑스,Ginseng 25% Ethanol Fluid Extract
M050597,실리콘안티포움엠,Silicone Antiform M
M050605,벨라돈나알칼로이드,Belladonna Alkaloid
M050608,변성알콜,"Alcohol, Modified"
M050609,보골지,Psoraleae Semen
M050610,보두,Strychni Ignatii Semen
M050615,보르네올,Borneol
M050617,백복령,Poria Sclerotium
M050619,토복령,Smilacis Rhizoma
M050620,에팔레스타트,Epalrestat
M050621,복분자,Rubus Fruit
M050623,봉출,Curcumae Rhizoma
M050625,부메타니드,Bumetanide
M050629,염부자,
M050638,정제어유농축물,Purified Fish Oil Concentrate
M050646,오렌지쥬스,Orange Juice
M050683,약용비누,Medicinal Soap
M050685,해마,Hippocampus
M050687,비사코딜,Bisacodyl
M050699,비오디아스타제,Biodiastase
M050704,비오틴,Biotin
M050712,사군자,Quisqualis Fructus
M050716,사상자,Cnidi Fructus
M050719,토사자,Cuscutae Semen
M050722,사포닌,Saponin
M050726,포도당가공품,Glucose Product
M050728,산두근,Sophorae Tonkinensis Radix Et Rhizoma
M050729,산사,Hawthorn Fruit
M050730,산사육,
M050733,산자고,Cremastrae Tuber
M050735,산치자,Gardenia Jasminoides
M050738,산화알루미늄,Aluminium Oxide
M050747,삼릉,Sparganium Rhizome
M050751,상지,Mori Ramulus
M050752,생강,Raw Ginger
M050753,수크랄페이트,Sucralfate
M050755,석검,Pyrrosiae Folium
M050756,소석고,Exsiccated Gypsum
M050757,석곡,Dendrobii Caulis
M050762,선모,Curculiginis Rhizoma
M050765,설린닥,Sulindac
M050770,설파닐아미드,Sulfanilamide
M050773,설파디메톡신,Sulfadimethoxine
M050774,설파디아진,Sulfadiazine
M050775,설파디아진은,Silver Sulfadiazine
M050776,설파메타진,Sulfamethazine
M050779,설파메톡시디아진,Sulfamethoxydiazine
M050783,설파목솔,Sulfamoxole
M050792,설포살리실산,Sulfosalicylic Acid
M050794,설피리드,Sulpiride
M050795,설핀피라존,Sulfinpyrazone
M050796,세니틴브이엠74,Cernitin VM74
M050797,세니틴지비엑스,Cernitin GBX
M050801,세크니다졸,Secnidazole
M050802,세트리미드,Cetrimide
M050805,센나열매,Sennae Fructus
M050808,센노시드,Sennoside
M050819,벤즈브로마론,Benzbromarone
M050822,속수자,Euphorbiae Lathyridis Semen
M050827,수삼,Anemarhena Rhizome
M050839,스트렙토도르나제,Streptodornase
M050842,스트렙토키나제,Streptokinase
M050857,시메티딘,Cimetidine
M050860,시스테인,Cysteine
M050879,시클로페닐,Cyclofenil
M050886,시티올론,Citiolone
M050887,시티콜린,Citicoline
M050891,신곡,Massa Medicata Fermentata
M050894,신나리진,Cinnarizine
M050897,신이,Magnoliae Flos
M050905,아교,Asini Corii Colla
M050906,아교주,
M050911,아데노신,Adenosine
M050914,포름아미딘아세테이트,Formamidine Acetate
M050915,아뎁스솔리두스,Adeps Solidus
M050929,감마아미노낙산,Gamma-Aminobutyrate
M050965,아세트아닐리드,Acetanilide
M050966,아세톤,Acetone
M050972,아세틸시스테인,Acetylcysteine
M050985,아연,Zinc
M050995,아질산나트륨,Sodium Nitrite
M051001,아프로티닌,Aprotinin
M051002,아황산나트륨,Sodium Sulfite
M051015,알란토인,Allantoin
M051020,시말드레이트,Simaldrate
M051022,히드로탈시트,Hydrotalcite
M051031,알릴에스트레놀,Allylestrenol
M051032,알부민,Albumin
M051041,암모니아,Ammonia
M051043,앵피,Prunus Bark
M051046,고량강,Alpinia Officinarum Rhizome
M051047,양기석,Actinolitum
M051060,에스신,Aescin
M051066,에스트로겐,Estrogens
M051067,에스트리올,Estriol
M051089,합성에탄올,Synthetic Ethanol
M051104,여로,Veratri Rhizoma Et Radix
M051105,연교,Forsythia Fruit
M051106,연단,Minium
M051110,염화리소짐,Lysozyme Chloride
M051111,염화마그네슘,Magnesium Chloride
M051115,염화벤질,Benzyl Chloride
M051117,염화수소,Hydrogen Chloride
M051122,염화코발트,Cobaltous Chloride
M051128,염화포스포릴콜린칼슘,Calcium Phosphorylcholine Chloride
M051133,영양각,Gazellae seu Saigae Cornu
M051138,오령지,Trogopterorum Faeces
M051152,오매,Mume Fruit
M051153,오약,Lindera Root
M051162,옥솔린산,Oxolinic Acid
M051166,옥스트리필린,Oxtriphylline
M051171,옥시메톨론,Oxymetholone
M051196,용골,Longgu
M051197,용뇌,Bomeolum
M051200,용안육,Longan Arillus
M051206,우담남성,Arisaematis Rhizoma Preparata cum Bovis Fel
M051208,우로가스트론,Urogastrone
M051212,우레탄,Urethane
M051213,우리딘,Uridine
M051216,웅담,Ursi Fel
M051217,웅황,Realgar
M051223,유로키나제,Urokinase
M051231,락토바실루스스포로게네스균,Lactobacillus Sporogenes
M051233,유비데카레논,Ubidecarenone
M051234,유지,Fat Milk
M051238,유향,Olibanum
M051248,육종용,Cistanchis Herba
M051250,음양곽,Epimedium Herb
M051257,이노신,Inosine
M051259,이부프로펜,Ibuprofen
M051268,이소에탐,Isoetam
M051272,이소프로필아세테이트,Isopropyl Acetate
M051275,이온교환수지,Ion Exchange Resin
M051280,인다파미드,Indapamide
M051281,인도메타신지,Indometacin G
M051283,인산알루미늄,Aluminium Phosphate
M051286,인산이수소나트륨,Monobasic Sodium Phosphate
M051288,인산이수소칼슘,Monobasic Calcium Phosphate
M051291,인삼,Ginseng
M051293,인삼향,Ginseng Flavor
M051297,인진호,Artemisiae Capillaris Herba
M051298,자단향,Santalini Lignum Rubrum
M051301,자소엽,Perilla Leaf
M051308,적작약,
M051309,장뇌,Camphorum
M051313,저령,Polyporus Sclerotium
M051315,적석지,Halloysitum Rubrum
M051316,전갈,Scorpio
M051317,전분,Starch
M051318,전호,Peucedani Radix
M051331,조각자,Gleditsia Spine
M051333,조구등,Uncariae Ramulus cum Uncus
M051339,주사,Cinnabaris
M051347,죽여,Phyllostachyos Caulis in Taeniam
M051351,지각,Aurantii Fructus Immaturus
M051352,지골피,Lycium Root Bark
M051358,지부자,Kochia Fruit
M051359,지유,Sanguisorbae Radix
M051360,지파미드,Xipamide
M051363,생지황,Rehmanniae Radix Recens
M051364,숙지황,Prepared Rehmannia Root
M051366,진주,Margarita
M051368,질산,Nitric Acid
M051377,석창포,Acori Graminei Rhizoma
M051378,천남성,Arisaema Rhizome
M051379,천마,Gastrodia Rhizome
M051380,천문동,Asparagus Tuber
M051381,천산갑,Manitis Squama
M051383,천오,Aconiti Tuber
M051385,천축황,Bambusae Concretio Silicea
M051388,천화분,Trichosanthis Radix
M051394,청피,Citrii Unshiu Immaturi Pericarpium
M051396,초과,Amomum Tsao-ko Fruit
M051397,초두구,Alpina Katsumadai Seed
M051402,초오,Aconiti Kusnezoffii Tuber
M051403,총백,Allii Fistulosi Bulbus
M051415,푸르설티아민,Fursultiamine
M051431,침강탄산나트륨,Precipitated Sodium Carbonate
M051432,침향,Aquilariae Lignum
M051435,카리소프로돌,Carisoprodol
M051437,카르바조크롬,Carbazochrome
M051452,칼륨,Potassium
M051453,칼슘,Calcium
M051464,케토프로펜,Ketoprofen
M051467,캡탄,Captan
M051478,콜린데오필리네이트,Choline Theophyllinate
M051492,크레아티닌,Creatinine
M051496,클로르퀴날돌,Chlorquinaldol
M051499,크로타미톤,Crotamiton
M051500,크롬산나트륨,Sodium Chromate
M051502,크시보르놀,Xibornol
M051504,클레마스틴,Clemastine
M051527,클로르페네신,Chlorphenesin
M051529,클로르페니라민,Chlorpheniramine
M051531,클로로포름,Chloroform
M051534,클로르프로칙센,Chlorprothixene
M051537,클로바잠,Clobazam
M051551,키모트립신,Chymotrypsin
M051552,키실레놀,Xylenol
M051564,탄산칼슘,Calcium Carbonate
M051569,텅스텐산나트륨,Sodium Tungstate
M051574,테마제팜,Temazepam
M051587,티모나식,Timonacic
M051591,테포즈63,Tefose 63
M051611,톨페남산,Tolfenamic Acid
M051614,트라넥삼산,Tranexamic Acid
M051617,트레티노인,Tretinoin
M051623,트리메토프림,Trimethoprim
M051630,트리아세틴,Triacetin
M051649,결정트립신,Crystallized Trypsin
M051652,티니다졸,Tinidazole
M051678,파인애플에센스,Pineapple Essence
M051683,파파인,Papain
M051684,판크레리파제,Pancrelipase
M051686,판테놀,Panthenol
M051687,판토텐산,Pantothenic Acid
M051688,판토텐산나트륨,Sodium Pantothenate
M051694,패장,Patriniae Radix
M051706,페니토인,Phenytoin
M051707,페니토인나트륨,Phenytoin Sodium
M051732,펙틴,Pectin
M051736,펜톡시필린,Pentoxifylline
M051738,펜타조신,Pentazocine
M051745,함당펩신,Saccharated Pepsin
M051746,펩톤,Peptone
M051749,포도당산화효소,Glucose Oxidase
M051750,무수포도당,Anhydrous Glucose
M051776,푸라졸리돈,Furazolidone
M051783,푸마르산철,Ferrous Fumarate
M051785,테가푸르,Tegafur
M051790,보글리보스,Voglibose
M051795,프로글루미드,Proglumide
M051799,페노피브레이트,Fenofibrate
M051800,프로자임,Prozyme
M051801,프로자임10,Prozyme 10
M051803,프로테아제,Protease
M051832,플루오로메톨론,Fluorometholone
M051834,1-히드록시벤조트리아졸,1-Hydroxybenzotriazole
M051839,플루옥시메스테론,Fluoxymesterone
M051841,플루페남산,Flufenamic Acid
M051845,프록시필린,Proxyphylline
M051852,피로갈롤,Pyrogallol
M051854,피로인산나트륨,Sodium Pyrophosphate
M051864,피리독신,Pyridoxine
M051879,피페라진,Piperazine
